,MotieID,date,Indiener,Indiener_party,Medeindiener_1,Medeindiener_party_1,Medeindiener_2,Medeindiener_party_2,Medeindiener_3,Medeindiener_party_3,Medeindiener_4,Medeindiener_party_4,Medeindiener_5,Medeindiener_party_5,Medeindiener_6,Medeindiener_party_6,Medeindiener_7,Medeindiener_party_7,Medeindiener_8,Medeindiener_party_8,Medeindiener_9,Medeindiener_party_9,Medeindiener_10,Medeindiener_party_10,Medeindiener_11,Medeindiener_party_11,Medeindiener_12,Medeindiener_party_12,Medeindiener_13,Medeindiener_party_13
171,21501-20-1368,17 oktober 2018,Bram van Ojik, GroenLinks,Kees Verhoeven, Democraten 66,Indiener: S.A. Blok, minister van Buitenlandse Zaken,M.J. van Rooijen, 50PLUS,Lilianne Ploumen, Partij van de Arbeid,Indiener: S.A. Blok, minister van Buitenlandse Zaken,Sadet Karabulut, Socialistische Partij,Indiener: Pia Dijkstra, Democraten 66,Indiener: S.A. Blok, minister van Buitenlandse Zaken,Indiener: S.A. Blok, minister van Buitenlandse Zaken,Stieneke van der Graaf, ChristenUnie,,,,,,
172,21501-20-1369,17 oktober 2018,Renske Leijten, Socialistische Partij,Lilianne Ploumen, Partij van de Arbeid,Bram van Ojik, GroenLinks,Sadet Karabulut, Socialistische Partij,,,,,,,,,,,,,,,,,,,,
173,21501-20-1370,17 oktober 2018,Renske Leijten, Socialistische Partij,Michiel van Nispen, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,,,
174,21501-20-1371,17 oktober 2018,Vicky Maeijer, Partij voor de Vrijheid,Sietse Fritsma, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,
175,21501-20-1372,17 oktober 2018,Lilianne Ploumen, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
176,21501-20-1373,17 oktober 2018,Lilianne Ploumen, Partij van de Arbeid,Bram van Ojik, GroenLinks,Sadet Karabulut, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,
177,21501-20-1374,17 oktober 2018,Pieter Omtzigt, Christen-Democratisch Appèl,Stieneke van der Graaf, ChristenUnie,Kees Verhoeven, Democraten 66,,,,,,,,,,,,,,,,,,,,,,
178,21501-20-1375,17 oktober 2018,Pieter Omtzigt, Christen-Democratisch Appèl,Aukje de Vries, Volkspartij voor Vrijheid en Democratie,,,,,,,,,,,,,,,,,,,,,,,,
179,21501-20-1376,17 oktober 2018,Thierry Baudet, Forum voor Democratie,,,,,,,,,,,,,,,,,,,,,,,,,,
180,21501-20-1377,17 oktober 2018,Thierry Baudet, Forum voor Democratie,,,,,,,,,,,,,,,,,,,,,,,,,,
181,21501-20-1384,22 november 2018,Lodewijk Asscher, Partij van de Arbeid,,,,,,,,,,,,,,,,,,,,,,,,,,
182,21501-20-1385,22 november 2018,Lammert van Raan, Partij voor de Dieren,Esther Ouwehand, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,
183,21501-20-1386,22 november 2018,Lammert van Raan, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
